codigo_def	UTM x	UTM y
AL283	494935,6104	4680901,301
AL284	489146,1104	4694299,051
AL286	494714,5604	4692510,201
AL287	492383,0354	4687832,576
AL288	499754,3604	4693018,751
AL289	493264,6104	4690976,651
AL290	497874,4604	4693085,551
AL291	507956,2104	4688412,051
AL292	501150,8604	4692271,801
AL293	491605,7854	4688372,626
AL294	507951,7104	4688409,801
AL295	493107,6104	4690784,651
AL297	495123,6104	4691456,051
AL298	493038,1104	4690693,651
AL299	497911,4104	4693128,451
AL300	508229,9104	4690372,551
AL302	495936,7145	4691205,834
AL303	490655,2854	4689441,926
AL304	494271,4604	4690910,651
AL305	489261,3604	4693902,301
AL306	489346,6104	4695683,801
AL307	488367,1104	4693171,801
AL308	496156,2106	4691097,106
AL309	494326,6104	4692104,301
AL310	493146,3604	4691743,801
AL311	491146,9104	4684337,151
AL312	488782,9854	4694336,676
AL313	498013,8104	4693347,151
AL314	488651,6104	4694378,051
AL315	495350,6705	4693184,948
AL316	488460,7354	4693500,426
AL317	488481,9854	4693581,676
AL318	489336,4854	4693610,176
AL319	488688,7354	4694231,676
AL320	488614,6104	4694295,551
AL321	489363,6104	4693467,051
AL322	494293,1267	4692889,256
AL323	489339,0354	4689606,426
AL324	487506,0104	4690369,376
AL325	494241,1104	4692096,301
AL326	494167,1104	4691043,151
AL327	493019,1104	4691914,051
AL328	494209,8604	4692232,551
AL329	488360,6104	4693797,801
AL330	498088,6104	4693454,301
AL331	508312,4604	4687993,251
AL332	508288,4604	4688064,001
AL333	492930,6104	4691886,051
AL334	488904,6104	4694527,051
AL335	488304,1104	4693567,301
AL336	488700,6104	4694127,551
AL337	487911,6104	4693540,301
AL338	487145,5104	4690395,676
AL340	493958,8104	4693315,201
AL341	488378,6104	4693900,301
AL342	492364,6104	4691474,551
AL343	492400,6104	4691315,551
AL344	494110,6104	4691878,301
AL345	494741,7417	4694093,133
AL346	489020,1104	4693530,551
AL347	488167,6104	4693049,801
AL348	492341,7354	4691532,176
AL349	494651,4683	4693374,249
AL350	488276,1104	4693983,801
AL351	495555	4694491
AL352	510091,3604	4697000,801
AL353	486846,9104	4686903,076
AL354	496431,2698	4691869,637
AL355	489799,8604	4696669,051
AL356	488895,8604	4692456,551
AL358	489807,6104	4696669,051
AL360	487047,0104	4690440,576
AL361	496875	4691532
AL362	506128,7604	4691388,951
AL363	492582,9854	4691827,926
AL364	496797	4691558
AL365	494153,739	4693930,059
AL366	496728	4691945
AL367	494190,8104	4694275,201
AL368	492601,9854	4691760,176
AL369	493673,8104	4693143,701
AL370	492228,1104	4691638,551
AL371	497073	4692948
AL372	505219,2604	4691998,701
AL373	493957,3104	4692629,701
AL374	489227,2354	4692298,676
AL375	495315,7604	4695023,201
AL376	485518,3854	4688603,551
AL377	495292,7604	4695075,701
AL378	494328,718	4694449,339
AL379	496745,4104	4691023,151
AL380	487855,4354	4689028,126
AL381	486993,3604	4690523,776
AL382	505478,6604	4700551,851
AL383	493626,3104	4694080,451
AL384	499655,9604	4693987,801
AL385	489870,3604	4696658,051
AL386	499617,3104	4693756,501
AL387	493554,5604	4692736,701
AL388	491727,0354	4683427,276
AL390	493508,3104	4693681,451
AL391	492054,3604	4691870,801
AL393	491657,7854	4683390,276
AL394	493510	4693551
AL395	489019,1104	4696331,051
AL396	493530,8104	4693051,701
AL397	494992,7104	4695654,851
AL398	495143,2104	4695633,851
AL399	492756,1104	4692279,801
AL400	494376	4695183
AL401	493016,5604	4693127,701
AL402	498991,5104	4694062,751
AL403	486875,8604	4690456,726
AL404	494260,0188	4695301,151
AL405	494256,9722	4695349,704
AL406	488301,8	4692661,4
AL407	493164,5604	4694261,451
AL408	488710,7604	4698953,751
AL409	488707,7604	4698969,751
AL410	494237,6155	4695245,327
AL411	493632,3585	4694669,496
AL412	494792,7104	4696027,351
AL413	493271	4693971
AL414	488302,2354	4692661,426
AL415	493146	4694164
AL416	493197,5604	4695029,451
AL417	492833,9604	4682267,401
AL418	492772,4104	4682479,551
AL419	486320,0104	4690769,826
AL420	493647,9439	4695163,395
AL421	492209,5692	4692204,293
AL422	491251,8604	4694202,051
AL423	487108,5604	4689400,226
AL425	492735,9604	4682280,401
AL426	489831,1104	4696939,301
AL427	487196,0604	4693562,551
AL428	492632	4694058
AL429	485753,2854	4689144,651
AL430	503562,5604	4693654,601
AL431	486123,5104	4689241,626
AL432	487103,8604	4693568,151
AL433	492690	4693872
AL434	490731,5354	4682295,026
AL435	485912,6604	4690772,626
AL436	494005,4733	4695833,953
AL437	499375,8604	4693680,801
AL438	491410,9104	4683554,651
AL440	492608,0354	4682328,026
AL441	487187,8104	4693492,301
AL442	487445,4354	4689096,551
AL443	492068,9354	4681439,026
AL444	485823,7604	4690726,926
AL445	490444,6104	4695267,051
AL446	492034,9911	4692296,374
AL447	504658,9989	4696036,857
AL449	491831	4694532
AL450	485999,0604	4690752,726
AL451	491639,3604	4694475,051
AL452	486467,5104	4687987,176
AL453	492407,9604	4682323,101
AL454	492043,0604	4693954,851
AL455	509618,6104	4694388,551
AL456	494225,7104	4696417,851
AL457	487506,4854	4693030,426
AL458	489957,1104	4696984,801
AL459	487412,6354	4688946,151
AL460	485975,8604	4689584,176
AL461	491953,3604	4694824,551
AL462	486488,6104	4690356,426
AL463	491396,4104	4683238,151
AL464	490578,9604	4680886,501
AL465	491364,4104	4683218,651
AL466	493427,2604	4695812,001
AL467	490920,9	4695123,3
AL468	489445,5104	4682788,426
AL469	493531,3104	4695994,201
AL470	487410,2354	4693052,676
AL471	486410,7604	4689128,476
AL472	485998,2104	4689643,426
AL473	488913,9854	4683325,001
AL474	493892,0604	4696796,201
AL475	488864,9854	4683372,251
AL476	490983,8604	4695156,551
AL477	494297,2104	4696976,851
AL478	492659,8604	4695117,301
AL479	487380,8854	4688705,051
AL480	486973,5104	4692737,301
AL481	487000,2104	4692769,351
AL482	486950,5104	4692761,201
AL483	487074,1604	4692851,851
AL484	486882,8604	4692762,801
AL485	486425,0104	4693826,451
AL486	488052,7104	4698427,651
AL487	496908,2595	4695746,686
AL488	486772,8604	4692953,301
AL489	488663,6104	4684188,776
AL490	488549,7104	4684203,976
AL491	486881,3246	4694153,459
AL492	499928,5721	4697037,013
AL493	488668,0354	4684086,501
AL494	486702,8604	4692889,801
AL495	487964,5104	4698439,101
AL496	486094,3604	4689726,826
AL497	496307,7854	4697115,351
AL498	493362,0604	4696438,701
AL499	486806,8504	4694466,623
AL500	486786,5026	4694436,933
AL501	486031,4104	4695256,201
AL502	489043,1354	4684022,951
AL503	487055,2604	4684626,476
AL504	487902,2604	4698977,051
AL505	488366,2604	4685280,501
AL506	508428,8604	4698528,801
AL507	490750,7354	4688721,076
AL508	485978,9104	4694452,701
AL509	485785,8604	4694539,801
AL510	497758	4696579
AL511	487232,8104	4699029,901
AL512	489958,7604	4698536,501
AL513	484959,052	4693426,853
AL514	490063,6104	4698561,051
AL515	503301,5927	4696305,867
AL516	485235,5104	4694628,501
AL517	484763,6149	4693465,998
AL518	508433,8604	4692733,201
AL519	485007,1604	4694706,151
AL520	486938,8104	4698844,151
AL521	486915,8104	4698811,651
AL522	511793,4604	4686322,601
AL523	486877,0604	4698742,651
AL524	488472,5104	4700642,151
AL525	486824,3104	4698785,901
AL526	495402,906	4699874,771
AL527	512289,8604	4685859,051
AL528	483792,0604	4694301,101
AL529	491780,3604	4702567,301
AL530	482377,1104	4697316,101
AL531	482413,1104	4697204,601
AL532	483265,1604	4694996,351
AL533	508905,3604	4697937,051
AL534	482692,3604	4695047,401
AL535	482473,3604	4695347,051
AL536	483097,3604	4696811,351
AL537	484861,0604	4698892,001
AL538	483292,3604	4697003,351
AL539	485676,3104	4698658,301
AL540	483538,8104	4696610,001
AL541	485568,3604	4698499,551
AL542	496041,3854	4702905,151
