ID	UTMx	UTMy
	511388,985	4678242,824
	511452,689	4678196,77
	511452,689	4678196,77
	511452,689	4678196,77
	511468,13	4678081,682
	511468,13	4678081,682
	511468,13	4678081,682
	511476,103	4678098,563
	511476,103	4678098,563
	511476,103	4678098,563
	511416,637	4678054,721
	511416,637	4678054,721
	511416,637	4678054,721
	511580,911	4678032,05
	511580,911	4678032,05
	511580,911	4678032,05
	511516,655	4677949,087
	511516,655	4677949,087
	511516,655	4677949,087
	511413,041	4677769,646
	511413,041	4677769,646
	511413,041	4677769,646
	511381,903	4677802,692
	511381,903	4677802,692
	511381,903	4677802,692
	511405,696	4677902,296
	511405,696	4677902,296
	511405,696	4677902,296
	511301,919	4677848,672
	511301,919	4677848,672
	511301,919	4677848,672
	511261,498	4677883,009
	511261,498	4677883,009
	511261,498	4677883,009
	511213,222	4677736,124
	511213,222	4677736,124
	511213,222	4677736,124
	511246,28	4677629,642
	511246,28	4677629,642
	511246,28	4677629,642
	511143,25	4677708,683
	511143,25	4677708,683
	511143,25	4677708,683
	511131,071	4677623,777
	511131,071	4677623,777
	511131,071	4677623,777
	511114,489	4677458,318
	511114,489	4677458,318
	511114,489	4677458,318
	511017,624	4677595,834
	511017,624	4677595,834
	511017,624	4677595,834
	511154,478	4677894,752
	511154,478	4677894,752
	511154,478	4677894,752
	511116,97	4677952,714
	511116,97	4677952,714
	511116,97	4677952,714
	511149,104	4677817,216
	511149,104	4677817,216
	511149,104	4677817,216
	511176,947	4678139,298
	511176,947	4678139,298
	511176,947	4678139,298
	509333,718	4674254,275
	509333,718	4674254,275
	509333,718	4674254,275
	508761,008	4673040,647
	508761,008	4673040,647
	508761,008	4673040,647
	508818,394	4672891,265
	508818,394	4672891,265
	508818,394	4672891,265
	508825,802	4672812,676
	508825,802	4672812,676
	508825,802	4672812,676
	508967,737	4672884,971
	508967,737	4672884,971
	508967,737	4672884,971
	508958,064	4672873,76
	508958,064	4672873,76
	508958,064	4672873,76
	508946,774	4672860,676
	508946,774	4672860,676
	508946,774	4672860,676
	508929,538	4672849,889
	508929,538	4672849,889
	508929,538	4672849,889
	508921,678	4672796,954
	508921,678	4672796,954
	508921,678	4672796,954
